OBJECTID,Country,Feature Description,Feature Name,Controlled Unclassified Information Indicator,Is FIRRMA Site,Is Joint Base,Media Identifier,Primary Key Identifier,Globally Unique Identifier,Site Name,Site Operational Status,Site Reporting Component Code,State Name Code,Shape__Area,Shape__Length,latitude,longitude,elevation,geocoded_name
908,usa,na,King Ranch,no,no,no,na, ,004da5c7-d86e-4109-a3e1-8f7dd06e17aa,King Ranch,act,usn,tx,4.08982571116212e-05,0.0312095999021845,26.24424,-98.45641,50.0,King Ranch Colonia Number 1
909,usa,na,NAVRESCEN Puerto Rico,no,no,no,na, ,c06ffae0-4996-488b-95c2-a738f9c665d7,NAVRESCEN Puerto Rico,act,usnr,pr,3.12133124680258e-06,0.0078248342762128,,,,
910,usa,na,Galveston TX MCRC,no,no,no,na, ,e994e2f0-2ad4-41b6-a5be-69c37fbc8e57,Galveston TX MCRC,act,usmcr,tx,1.66607965184085e-05,0.021981225373734,,,,
911,usa,na,MARFORRES HQTRS,no,no,no,na, ,f6933b64-1328-4cd0-9f5b-5232e2319880,MARFORRES HQTRS,act,usmcr,la,1.16215228445071e-05,0.0146391883694102,,,,
912,usa,na,"Des Moines, IA",no,no,no,na, ,94a79df0-7cfb-4cd5-a482-ae9c911b128c,"Des Moines, IA",act,usmcr,ia,1.04579527395177e-05,0.0141662624316406,,,,
913,usa,na,Martinez Lake,no,no,no,na, ,c703d6d2-3cd3-47e5-a243-f0e5a8fc013c,Martinez Lake,act,usmc,az,5.3788414788869e-06,0.0296273792816365,27.39697,-99.39198,160.0,Martinez Lake Dam
914,usa,na,Juniper Butte Range,no,no,no,na, ,5968a32a-4448-4cb9-87d2-0cb947406ef0,Juniper Butte Range,act,usaf,id,0.0053084055775798,0.289055731650978,,,,
917,usa,na,Patriot Golf Course,no,no,no,na, ,006637e8-5b0d-48a1-9b11-acc4c1247ab0,Patriot Golf Course,act,usaf,ma,3.27956856835954e-05,0.0235331318316362,,,,
918,usa,na,Fort Tuthill Recreation Annex,no,no,no,na, ,9c087e32-ceee-4aec-a60d-01350750df01,Fort Tuthill Recreation Annex,act,usaf,az,5.68404425393965e-06,0.0124912378912123,,,,
919,usa,na,Laughlin Recreation Annex,no,no,no,na, ,5a255895-0510-4e22-a752-f49f46c019d3,Laughlin Recreation Annex,act,usaf,tx,2.87456036858202e-05,0.0654637033958386,,,,
920,usa,na,Eglin AFB Site 4 Okaloosa Island,no,no,no,na, ,d994e5b4-b0c0-44ae-999d-841c5bb74d27,Eglin AFB Site 4 Okaloosa Island,act,usaf,fl,0.000324226442899,0.148863271618545,,,,
921,usa,na,PFC S C Aviles Salinas,no,no,no,na, ,,PFC S C Aviles Salinas,act,usar,pr,9.95161599348648e-07,0.003973198040714,,,,
922,usa,na,Pinellas Park AFRC,no,no,no,na, ,,Pinellas Park AFRC,act,usar,fl,2.32403153859195e-05,0.0194525481277651,,,,
923,usa,na,NG So Burlington AASF and RC,no,no,no,na, ,,NG So Burlington AASF and RC,act,armyNationalGuard,vt,1.2398069657138e-05,0.015163605889699,,,,
924,usa,na,CPT David D Phillips USARC,no,no,no,na, ,,CPT David D Phillips USARC,act,usar,mi,2.60742422142357e-06,0.0070252697681524,,,,
925,usa,na,NG Hams Bluff Training Facility,no,no,no,na, ,,NG Hams Bluff Training Facility,care,armyNationalGuard,vi,6.00615180701425e-07,0.0035314588404081,,,,
926,usa,na,NG AASF,no,no,no,na, ,,NG AASF,act,armyNationalGuard,ct,1.55645841459773e-05,0.0248506863396453,-34.7654,19.85612,14.0,Aasfontein
927,usa,na,NG Aguadilla Readiness Center,no,no,no,na, ,,NG Aguadilla Readiness Center,act,armyNationalGuard,pr,1.15717489279632e-06,0.0063169420454828,,,,
928,usa,na,Fort Wm Harrison AMSA 75 G,no,no,no,na, ,,Fort Wm Harrison AMSA 75 G,act,usar,mt,6.18763215243234e-06,0.0106118030244522,,,,
929,usa,na,Clarksburg AMSA 102 G,no,no,no,na, ,,Clarksburg AMSA 102 G,act,usar,wv,4.65022026219231e-06,0.0092474534120008,,,,
930,usa,na,NG Boyd M Cook Armory,no,no,no,na, ,,NG Boyd M Cook Armory,care,armyNationalGuard,md,8.23685627437953e-06,0.0127786118599077,,,,
931,usa,na,NG Hiller Readiness Center,no,no,no,na, ,,NG Hiller Readiness Center,act,armyNationalGuard,pa,4.28967655352608e-06,0.0099858310482163,,,,
932,usa,na,Chattanooga (VAAP) USARC,no,no,no,na, ,,Chattanooga (VAAP) USARC,act,usar,tn,5.30618126504123e-06,0.0094992710406826,,,,
933,usa,na,CPL JG Rosario/Aquadilla,no,no,no,na, ,,CPL JG Rosario/Aquadilla,act,usar,pr,1.18255741199391e-06,0.0044557045285564,,,,
934,usa,na,CPT PJ Parra/Ponce,no,no,no,na, ,,CPT PJ Parra/Ponce,act,usar,pr,1.72619809291064e-06,0.0053831834157956,,,,
935,usa,na,Def Distr Reg West Sharpe Site,no,no,no,na, ,,Def Distr Reg West Sharpe Site,act,usa,ca,0.0002177258810565,0.125194409467839,,,,
936,usa,na,Eldridge-Harrington USARC,no,no,no,na, ,,Eldridge-Harrington USARC,act,usar,ar,3.99881014345738e-06,0.0081509005696743,,,,
937,usa,na,Elmer E Fryar USARC,no,no,no,na, ,,Elmer E Fryar USARC,act,usar,co,3.08661265080445e-06,0.0095413749950785,,,,
938,usa,na,Fremont USARC,no,no,no,na, ,,Fremont USARC,act,usar,ne,2.18157560993859e-06,0.0060993659217027,,,,
939,usa,na,Gerry USARC,no,no,no,na, ,,Gerry USARC,act,usar,ny,2.27550140152744e-06,0.0061984287639457,,,,
940,usa,na,NG Gowen Field Boise,no,no,no,na, ,,NG Gowen Field Boise,act,armyNationalGuard,id,0.0002427274398542,0.116586772961816,,,,
941,usa,na,Greenwood USARC/AMSA 144 (G),no,no,no,na, ,,Greenwood USARC/AMSA 144 (G),act,usar,ms,3.77207516066846e-06,0.0078752430410196,,,,
942,usa,na,NG Humacao Readiness Center,no,no,no,na, ,,NG Humacao Readiness Center,act,armyNationalGuard,pr,1.96719906853104e-06,0.0056413274573597,,,,
943,usa,na,"Kirksville USARC
R",no,no,no,na, ,,"Kirksville USARC
R",act,usar,mo,4.49437902716454e-06,0.0088677217340091,,,,
944,usa,na,Lewis and Clark USARC,no,no,no,na, ,,Lewis and Clark USARC,act,usar,nd,4.70242275696364e-06,0.0085489327342471,,,,
945,usa,na,Lock Haven USARC,no,no,no,na, ,,Lock Haven USARC,act,usar,pa,4.56525981462619e-06,0.0098268482947636,,,,
946,usa,na,Mead LTA,no,no,no,na, ,,Mead LTA,act,usar,ne,0.0004187320457731,0.0819819941448219,,,,
947,usa,na,NG Minot AFRC,no,no,no,na, ,,NG Minot AFRC,act,armyNationalGuard,nd,1.10368987407128e-05,0.0134547023964153,,,,
948,usa,na,Morgantown USARC,no,no,no,na, ,,Morgantown USARC,semi,usar,wv,4.06704111810541e-06,0.0114049281621077,,,,
949,usa,na,MSG D Claudio/Caguas,no,no,no,na, ,,MSG D Claudio/Caguas,act,usar,pr,9.75183297668991e-07,0.0039170338335041,,,,
950,usa,na,New Castle AMSA 110 (G),no,no,no,na, ,,New Castle AMSA 110 (G),act,usar,pa,1.9632384464785e-06,0.0064706170040372,,,,
951,usa,na,New River Valley Mem USARC,no,no,no,na, ,,New River Valley Mem USARC,act,usar,va,4.98496729051112e-06,0.0105713698785822,,,,
952,usa,na,NG Warwick,no,no,no,na, ,,NG Warwick,act,armyNationalGuard,ri,2.86374711322424e-06,0.0091910205525451,41.7001,-71.41617,11.0,Warwick
953,usa,na,NG West VA Ord Works,no,no,no,na, ,,NG West VA Ord Works,act,armyNationalGuard,wv,2.99326211461448e-06,0.0075394583209561,,,,
954,usa,na,NG Orlando Naval Training Center,no,no,no,na, ,,NG Orlando Naval Training Center,act,armyNationalGuard,fl,5.77877926843939e-06,0.0136253219599606,,,,
955,usa,na,PFC L G Oliveras Yauco,no,no,no,na, ,,PFC L G Oliveras Yauco,act,usar,pr,1.09593054276047e-06,0.00423985355372,,,,
956,usa,na,Pocahontas USARC,no,no,no,na, ,,Pocahontas USARC,care,usar,ia,2.22492917600903e-06,0.0061134400069132,,,,
957,usa,na,Special Forces Site Key West,no,no,no,na, ,,Special Forces Site Key West,act,usa,fl,6.71987879741209e-06,0.0099492294172104,,,,
958,usa,na,St Joseph USARC,no,no,no,na, ,,St Joseph USARC,act,usar,mo,2.06935010282905e-06,0.0060157851842096,,,,
959,usa,na,St Louis 4/Ord Plant,no,no,no,na, ,,St Louis 4/Ord Plant,care,usar,mo,4.46830722466984e-06,0.0115388567707248,,,,
960,usa,na,NG TS Waco LTA,no,no,no,na, ,,NG TS Waco LTA,act,armyNationalGuard,mt,0.0021493023855327,0.265151276370344,,,,
961,usa,na,USAR Keystone Ord Outdoor Tng,no,no,no,na, ,,USAR Keystone Ord Outdoor Tng,act,usar,pa,0.0002031474298291,0.0979155540156281,,,,
962,usa,na,Ft Nathaniel Greene USARC,no,no,no,na, ,,Ft Nathaniel Greene USARC,act,usar,ri,4.42475486579497e-05,0.0270826334989331,,,,
963,usa,na,NG Wilder,no,no,no,na, ,,NG Wilder,act,armyNationalGuard,id,3.8808801267531e-06,0.0087914801134945,43.67655,-116.91182,740.0,Wilder
964,usa,na,Wilson USARC,no,no,no,na, ,,Wilson USARC,act,usar,nc,2.1204209588177e-06,0.005932888011504,,,,
965,usa,na,NG Worcester Skyline Drive,no,no,no,na, ,,NG Worcester Skyline Drive,act,armyNationalGuard,ma,1.46385082189227e-06,0.0051681573951841,,,,
966,usa,na,Butte USARC,no,no,no,na, ,,Butte USARC,act,usar,mt,4.70169470645487e-06,0.010075606692666,,,,
967,usa,na,Dodge City USARC GTA,no,no,no,na, ,,Dodge City USARC GTA,act,usar,ks,4.1310586311738e-06,0.0081592844611994,,,,
968,usa,na,NG JFHQ Augusta ME,no,no,no,na, ,,NG JFHQ Augusta ME,act,armyNationalGuard,me,1.97934600691951e-05,0.0216283584289268,,,,
969,usa,na,NG PRARNG MMS Boatshop,no,no,no,na, ,,NG PRARNG MMS Boatshop,act,armyNationalGuard,pr,1.63468723712867e-06,0.0081830662496083,,,,
970,usa,na,Charles County USARC,no,no,no,na, ,,Charles County USARC,act,usar,md,6.27666236141522e-06,0.0105643257116611,,,,
971,usa,na,Constitution Island,no,no,no,na, ,,Constitution Island,act,usa,ny,7.77812565502245e-05,0.0391813841694786,41.40565,-73.95375,10.0,Constitution Island
972,usa,na,NG Lathrop,no,no,no,na, ,,NG Lathrop,act,armyNationalGuard,ca,2.65569710791169e-05,0.0264626894155633,37.8227,-121.27661,7.0,Lathrop
973,usa,na,Bristol County USARC,no,no,no,na, ,,Bristol County USARC,act,usar,ma,7.14275324753544e-06,0.0119591464597958,,,,
974,usa,na,Fairchild Recreation Annex,no,no,no,na, ,26c88ea1-166c-4386-bd5d-1df74532af00,Fairchild Recreation Annex,act,usaf,wa,1.48061917570885e-05,0.0201105679805201,,,,
976,usa,na,Tonopah Auxiliary Airfield Annex 2,no,no,no,na, ,95b6eb47-988c-46f3-84be-8021478968e6,Tonopah Auxiliary Airfield Annex 2,act,usaf,nv,4.51190758212761e-05,0.0317456611730999,,,,
977,usa,na,Keesler Training Annex No 1,no,no,no,na, ,0601c92b-0868-421f-91a5-5df008db3ac9,Keesler Training Annex No 1,act,usaf,ms,2.18073089399695e-05,0.0196304892858074,,,,
979,usa,na,Tinker Aerospace Addition,no,no,no,na, ,ca6a0f10-8fed-4693-aaad-8d25ef643a86,Tinker Aerospace Addition,act,usaf,ok,6.2601149920738e-05,0.0437062239869064,,,,
980,usa,na,General Mitchell IAP Guard East,no,no,no,na, ,702f8cf1-8d95-42dd-86fa-e62dbf771c64,General Mitchell IAP Guard East,act,airNationalGuard,wi,8.7646542397124e-06,0.0143233499509944,,,,
981,usa,na,Fort Wayne IAP-3 8785 Acres,no,no,no,na, ,,Fort Wayne IAP-3 8785 Acres,act,airNationalGuard,in,8.37819038679299e-06,0.0136984828191202,,,,
982,usa,na,Fort Wayne IAP-2 1877 Acres,no,no,no,na, ,,Fort Wayne IAP-2 1877 Acres,act,airNationalGuard,in,3.8045668588893e-05,0.0337135071145888,,,,
983,usa,na,Sioux Gateway Airport ANG-CE Site 2,no,no,no,na, ,,Sioux Gateway Airport ANG-CE Site 2,act,airNationalGuard,ia,6.62376574145362e-06,0.0182933015286613,,,,
985,usa,na,Tonopah AFS Z164,no,no,no,na, ,,Tonopah AFS Z164,act,usaf,nv,2.08300521080673e-05,0.0285472758756032,,,,
989,usa,na,NUWC Fishers Island NY,no,no,no,na, ,c798468f-742f-4426-8978-772ef856ea34,NUWC Fishers Island NY,act,usn,ny,2.93998662073136e-05,0.0252073340450893,,,,
991,usa,na,Grand Forks AFB,no,yes,no,na, ,c9fabeb6-6bdf-4b89-ba4a-cb22a3b68cde,Grand Forks AFB,act,usaf,nd,0.0027213253224545,0.343546892953699,47.9497,-97.3944,275.0,Grand Forks AFB
992,usa,na,Potrero Hills Storage Annex,no,no,no,na, ,5823b732-fc97-415a-93e5-9cd6ed9ded7c,Potrero Hills Storage Annex,semi,usaf,ca,1.03275961009786e-05,0.0151375147278526,,,,
